"","target_id","test_stat","pval","qval","rss","sigma_sq","tech_var","mean_obs","var_obs","sigma_sq_pmax","smooth_sigma_sq","final_sigma_sq","degrees_free"
"1","AT2G33830.2",58.0654148508607,2.53544882815446e-14,7.16213584977072e-10,15.35671072711,1.39576222422262,0.000302387332835757,8.85889115522825,1.39606461155546,1.39576222422262,0.0224628889807144,1.39576222422262,1
"2","AT2G23820.1",49.8834053611217,1.63158762813596e-12,2.30445436597923e-08,126.926781369411,11.5363342434863,0.00246406282371889,2.55854257960993,11.5387983063101,11.5363342434863,0.449519252658977,11.5363342434863,1
"3","AT2G35810.2",48.3980120297396,3.47920720605674e-12,3.27602150522303e-08,8.48493512938493,0.767681802301493,0.00367593673350082,5.77120258033664,0.771357739034992,0.767681802301493,0.0134517645565325,0.767681802301493,1
"4","AT1G53480.2",37.6655639560673,8.39739791605506e-10,4.16430984673408e-06,84.6824248885819,7.65835673745093,0.0400455251474178,1.95958483378582,7.69840226259835,7.65835673745093,0.782214829217349,7.65835673745093,1
"5","AT2G33830.1",38.1116716088925,6.68092937492892e-10,4.16430984673408e-06,14.1259059192474,1.24712458763725,0.0370486777488736,5.10807721694383,1.28417326538613,1.24712458763725,0.0178353661751442,1.24712458763725,1
"6","AT2G35635.1",37.5642295872023,8.84517809416755e-10,4.16430984673408e-06,1.84390615660751,0.165831050559079,0.00179678185978565,6.50632656813782,0.167627832418865,0.165831050559079,0.0129445897400249,0.165831050559079,1
"7","AT1G64795.1",35.7757700318236,2.213841551137e-09,8.93379944807401e-06,87.9412740823592,7.9346530446856,0.0600082355288778,2.27872921837812,7.99466128021448,7.9346530446856,0.590645467551162,7.9346530446856,1
"8","AT2G35830.2",34.0709378435448,5.31390221641968e-09,1.66785677566026e-05,3.90464329608008,0.338442696219307,0.0165248761516096,4.97460530240627,0.354967572370917,0.338442696219307,0.0196928857822532,0.338442696219307,1
"9","AT4G12520.1",34.0725919928873,5.30938680076882e-09,1.66785677566026e-05,76.3709812666092,6.92848666187696,0.0143298169057017,1.80600495397554,6.94281647878266,6.92848666187696,0.883084242792554,6.92848666187696,1
"10","AT1G75945.1",33.834353952465,6.00097666417578e-09,1.68654656157221e-05,70.2655658676035,6.38089185870726,0.00688685652941979,1.72335233246986,6.38777871523669,6.38089185870726,0.939145279903358,6.38089185870726,1
"11","AT2G25964.1",33.6588473300857,6.56754891577963e-09,1.68654656157221e-05,4.23837616166451,0.380372769992751,0.00493415379493161,5.3527180226096,0.385306923787683,0.380372769992751,0.0156073934538128,0.380372769992751,1
"12","AT2G26740.1",33.0818592949845,8.8359275700895e-09,2.07997734999907e-05,33.4951304717058,3.03573534591604,0.0092765151481226,5.98363975114649,3.04501186106416,3.03573534591604,0.0129961552845708,3.03573534591604,1
"13","AT2G35010.1",31.7736896743723,1.7322346456314e-08,3.76401263613814e-05,97.6292257398816,8.68238532833027,0.192998829840785,2.53107183578188,8.87538415817106,8.68238532833027,0.462151091034554,8.68238532833027,1
"14","AT1G53480.1",30.1840752857383,3.92922529021497e-08,7.9280539998566e-05,66.8674190178698,5.91176852130628,0.16708775304552,1.88464587935282,6.0788562743518,5.91176852130628,0.830912652954189,5.91176852130628,1
"15","AT1G08940.1",29.2504789328989,6.36005042869288e-08,0.000119772469673144,6.88593427503363,0.597235107289089,0.0287589177139681,4.02541856043173,0.625994025003058,0.597235107289089,0.0580697350757624,0.597235107289089,1
"16","AT2G21860.1",27.8668637827132,1.29956424852449e-07,0.000229438068076998,2.64210418958811,0.227149685870783,0.013041604091772,4.53958381427607,0.240191289962555,0.227149685870783,0.0285107071049901,0.227149685870783,1
"17","AT1G80080.1",26.758349143696,2.30553429940711e-07,0.000383098428762659,1.10740134308864,0.0972422717301164,0.00343057764157781,5.62187875732687,0.100672849371694,0.0972422717301164,0.0140933571581663,0.0972422717301164,1
"18","AT2G32650.1",26.4443581182485,2.71239544572738e-07,0.000425665258616151,10.5003944888381,0.871019282937391,0.0835620342297089,4.74750958492869,0.9545813171671,0.871019282937391,0.0234222571498264,0.871019282937391,1
"19","AT2G26280.1",26.2095663454894,3.06301387219021e-07,0.000432620079308145,1.46932556600446,0.113413747068457,0.020161304386494,5.91228594463725,0.133575051454951,0.113413747068457,0.0131015382600747,0.113413747068457,1
"20","AT2G36490.1",26.2662985082298,2.97433999459621e-07,0.000432620079308145,1.07373896872758,0.0947652394591229,0.00284739406156653,6.04002907725415,0.0976126335206895,0.0947652394591229,0.0129397769653978,0.0947652394591229,1
